,ghi_clipped_x
2020-06-24 16:37:00,435.4575
2020-06-24 16:42:00,420.1375
2020-06-24 16:47:00,404.1575
2020-06-24 16:52:00,387.905
2020-06-24 16:57:00,373.08500000000004
2020-06-24 17:02:00,353.7375
2020-06-24 17:07:00,337.155
2020-06-24 17:12:00,316.88
2020-06-24 17:17:00,298.7875
2020-06-24 17:22:00,279.6325
2020-06-24 17:27:00,258.65250000000003
2020-06-24 17:32:00,240.14000000000001
2020-06-24 17:37:00,223.06000000000003
2020-06-24 17:42:00,205.82500000000002
2020-06-24 17:47:00,190.9925
2020-06-24 17:52:00,176.64000000000001
2020-06-24 17:57:00,163.6575
2020-06-24 18:02:00,148.8125
2020-06-24 18:07:00,133.54
2020-06-24 18:12:00,117.21035295144134
2020-06-24 18:17:00,98.52163848876889
2020-06-24 18:22:00,80.78813724076507
2020-06-24 18:27:00,64.2056727386138
2020-06-24 18:32:00,49.00402069895042
2020-06-24 18:37:00,35.44732792764025
2020-06-24 18:42:00,23.826185578687507
2020-06-25 06:57:00,29.063122702388796
2020-06-25 07:02:00,41.63099813799007
2020-06-25 07:07:00,55.99368337552198
2020-06-25 07:12:00,71.87169517546243
2020-06-25 07:17:00,89.01715877420631
2020-06-25 07:22:00,107.21690517348208
2020-06-25 07:27:00,126.29014089472282
2020-06-25 07:32:00,146.0842099364973
2020-06-25 07:37:00,166.4701322435347
2020-06-25 07:42:00,169.3
2020-06-25 07:47:00,177.0
2020-06-25 07:52:00,190.70250000000001
2020-06-25 07:57:00,182.155
2020-06-25 08:02:00,176.905
2020-06-25 08:07:00,197.36249999999998
2020-06-25 08:12:00,220.57999999999998
2020-06-25 08:17:00,193.815
2020-06-25 08:22:00,201.26999999999998
2020-06-25 08:27:00,194.4475
2020-06-25 08:32:00,219.015
2020-06-25 08:37:00,231.8125
2020-06-25 08:42:00,222.3725
2020-06-25 08:47:00,205.025
2020-06-25 08:52:00,168.4975
2020-06-25 08:57:00,133.91500000000002
2020-06-25 09:02:00,127.475
2020-06-25 09:07:00,116.64750000000001
2020-06-25 09:12:00,109.83749999999999
2020-06-25 09:17:00,92.4925
2020-06-25 09:22:00,80.38749999999999
2020-06-25 09:27:00,96.65
2020-06-25 09:32:00,123.77499999999999
2020-06-25 09:37:00,157.325
2020-06-25 09:42:00,175.5625
2020-06-25 09:47:00,223.0625
2020-06-25 09:52:00,299.3075
2020-06-25 09:57:00,338.06
2020-06-25 10:02:00,360.605
2020-06-25 10:07:00,484.50250000000005
2020-06-25 10:12:00,422.6775
2020-06-25 10:17:00,432.86249999999995
2020-06-25 10:22:00,556.7125
2020-06-25 10:27:00,428.235
2020-06-25 10:32:00,418.155
2020-06-25 10:37:00,402.5575
2020-06-25 10:42:00,410.8525
2020-06-25 10:47:00,422.4225
2020-06-25 10:52:00,344.4575
2020-06-25 10:57:00,327.455
2020-06-25 11:02:00,437.6625
2020-06-25 11:07:00,389.225
2020-06-25 11:12:00,451.845
2020-06-25 11:17:00,423.3525
2020-06-25 11:22:00,406.63
2020-06-25 11:27:00,406.9425
2020-06-25 11:32:00,404.9475
2020-06-25 11:37:00,408.65
2020-06-25 11:42:00,515.54
2020-06-25 11:47:00,638.0675
2020-06-25 11:52:00,824.6339966502336
2020-06-25 11:57:00,623.015
2020-06-25 12:02:00,524.775
2020-06-25 12:07:00,486.525
2020-06-25 12:12:00,493.23
2020-06-25 12:17:00,513.5124999999999
2020-06-25 12:22:00,585.2025
2020-06-25 12:27:00,468.4025
2020-06-25 12:32:00,482.7825
2020-06-25 12:37:00,452.3325
2020-06-25 12:42:00,467.4225
2020-06-25 12:47:00,304.1975
2020-06-25 12:52:00,248.4375
2020-06-25 12:57:00,307.875
2020-06-25 13:02:00,351.8325
2020-06-25 13:07:00,356.15749999999997
2020-06-25 13:12:00,340.40250000000003
2020-06-25 13:17:00,355.5075
2020-06-25 13:22:00,398.19
2020-06-25 13:27:00,449.5225
2020-06-25 13:32:00,517.705
2020-06-25 13:37:00,428.52000000000004
2020-06-25 13:42:00,407.1175
2020-06-25 13:47:00,481.28999999999996
2020-06-25 13:52:00,433.9425
2020-06-25 13:57:00,403.68500000000006
2020-06-25 14:02:00,322.04249999999996
2020-06-25 14:07:00,814.3592394649095
2020-06-25 14:12:00,811.5222104775722
2020-06-25 14:17:00,808.4838984414422
2020-06-25 14:22:00,615.895
2020-06-25 14:27:00,548.085
2020-06-25 14:32:00,534.1975
2020-06-25 14:37:00,479.92
2020-06-25 14:42:00,446.9275
2020-06-25 14:47:00,464.21750000000003
2020-06-25 14:52:00,624.66
2020-06-25 14:57:00,584.935
2020-06-25 15:02:00,743.715
2020-06-25 15:07:00,495.285
2020-06-25 15:12:00,383.7675
2020-06-25 15:17:00,696.2150000000001
2020-06-25 15:22:00,723.845
2020-06-25 15:27:00,676.525
2020-06-25 15:32:00,734.1997535651167
2020-06-25 15:37:00,593.1300000000001
2020-06-25 15:42:00,555.575
2020-06-25 15:47:00,642.0425
2020-06-25 15:52:00,523.255
2020-06-25 15:57:00,609.315
2020-06-25 16:02:00,602.9575
2020-06-25 16:07:00,613.2625
2020-06-25 16:12:00,630.2774266765707
2020-06-25 16:17:00,444.6
2020-06-25 16:22:00,460.2475
2020-06-25 16:27:00,451.745
2020-06-25 16:32:00,498.65749999999997
2020-06-25 16:37:00,423.51
2020-06-25 16:42:00,363.72
2020-06-25 16:47:00,245.135
2020-06-25 16:52:00,382.15999999999997
2020-06-25 16:57:00,386.6175
2020-06-25 17:02:00,365.105
2020-06-25 17:07:00,337.3175
2020-06-25 17:12:00,306.75750000000005
2020-06-25 17:17:00,308.83500000000004
2020-06-25 17:22:00,288.8675
2020-06-25 17:27:00,282.0625
2020-06-25 17:32:00,269.29249999999996
2020-06-25 17:37:00,264.253186353466
2020-06-25 17:42:00,235.95750000000004
2020-06-25 17:47:00,220.62734499047178
2020-06-25 17:52:00,186.19750000000002
2020-06-25 17:57:00,130.1225
2020-06-25 18:02:00,100.375
2020-06-25 18:07:00,93.03
2020-06-25 18:12:00,85.13749999999999
2020-06-25 18:17:00,71.08500000000001
2020-06-25 18:22:00,59.135000000000005
2020-06-25 18:27:00,48.6425
2020-06-25 18:32:00,44.3725
2020-06-25 18:37:00,35.83864058071702
2020-06-25 18:42:00,24.156462790847478
2020-06-26 06:57:00,28.43872070961905
2020-06-26 07:02:00,40.897228083268665
2020-06-26 07:07:00,55.1658390801207
2020-06-26 07:12:00,70.96393493407278
2020-06-26 07:17:00,88.0419766444234
2020-06-26 07:22:00,103.0075
2020-06-26 07:27:00,117.63499999999999
2020-06-26 07:32:00,132.1175
2020-06-26 07:37:00,146.9525
